SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,QW_LAT,QW_LONG,CSA_Name,URBAN_CENTER,BasinGIS_km2,Elev_atQWsite,SITE_Ecoregions3_code,SITE_Ecoregions3_name,DevelopedHigh2011,DevelopedMed2011,DevelopedLow2011,DevelopedOpen2011,BarrenLand2011,DeciduousForest2011,EvergreenForest2011,MixedForest2011,GrasslandHerb2011,ShrubScrub2011,CultivatedCrops2011,PastureHay2011,WoodyWetlands2011,EmerHerbWetlands2011,OpenWater2011,SumAreaNLCD2011,Canopy2011,Imperviousness2001,Imperviousness2006,Imperviousness2011,Dev_CommServices2012,Dev_IndusMilitary2012,Dev_MajorTransp2012,Dev_Other2012,Dev_Recreation2012,Dev_ResidHigh2012,Dev_ResidLowMed2012,SemiDev_AnthroOth2012,SemiDev_UrbHigh2012,SemiDev_UrbLowMed2012,Prod_Crops2012,Prod_GrazingPot2012,Prod_Mining2012,Prod_PastureHay2012,LowUse2012,VeryLowUse_Conserv2012,Water2012,Wetlands2012,SumAreaNWALT2012,Dense_Urban,Total_Urban,CSQA_Total_Urban,Extended_Urban,Crops,Total_Ag,Total_Developed,Total_Low_Use,LU_cat,Major_LU,GolfCourseArea,UrbanAge_mean,UrbanAge_PCT_1940,UrbanAge_PCT_1950,UrbanAge_PCT_1960,UrbanAge_PCT_1970,UrbanAge_PCT_1980,UrbanAge_PCT_1990,UrbanAge_PCT_2000,UrbanAge_PCT_2010,UrbanAge_PCT_NonUrban,UrbanAge_SUM_AREA,DamDensity2009,DamDensity2016,DamMajDensity2009,DamMajDensity2016,DamNIDstorage2009,DamNIDstorage2016,DamNORMALstorage2009,DamNORMALstorage2016,DamNumMajDams2009,DamNumMajDams2016,NumDams2009,NumDams2016,BaseFlowIndex,DunneOverlandFlow,HortonOverlandFlow,IndexSubsFlowContact,Runoff2013,Runoff2014,Runoff2015,Runoff2016,Runoff2017,Stream_Ephemeral,Stream_Intermittent,Stream_Perennial,Stream_StreamRiver,StreamDensity,TopogWetnessIndex,N_AtmosphDepos2013,N_AtmosphDepos2014,N_AtmosphDepos2015,N_AtmosphDepos2016,N_AtmosphDepos2017,N_FertFarm2012,N_FertNonFarm2012,N_Manure2012,N_Wastewater1992,N_Wastewater1997,N_Wastewater2002,N_NPDES_2012,NumFacilities2012,NumMajorFacilities2012,P_FertFarm2012,P_FertNonFarm2012,P_Manure2012,P_Wastewater1992,P_Wastewater1997,P_Wastewater2002,P_NPDES_2012,Total_N,Total_P,AdjHouseIncome_mean,HousingDensity2000,HousingDensity2010,PopDensity1990,PopDensity2000,PopDensity2010,RoadDensity2013,RoadDensity2014,RoadDensity2015,RoadDensity2016,RoadDensity2017,DepthToWaterTable,AvailWaterCapacity,BulkDensity,KfactorUpperHorizon,OrganicMatter,Permeability,SandContent,SiltContent,ClayContent,RainfallErosivity,SoilLoss_Afactor,SoilThickness,SRL25Agland,Elev_MeanWatershed,Slope,TRI_NumOfChems2010,TRI_NumOfFacil,TRI_NumOfSuperFund,TRI_SumLbs2010
11128500,T11128500,CA_SantaYnezSol,CSQA,SANTA YNEZ R A SOLVANG CA,34.584987,-120.144593,,,1498.91,115.6399994,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.01,0.04,0.27,2.70,0.13,0.00,18.18,17.65,10.64,45.82,1.44,1.49,0.36,0.43,0.83,1498919213,20.00,0.21,0.21,0.21,0.10,0.00,0.19,0.27,0.11,0.00,0.57,0.03,0.00,0.33,1.51,0.27,0.01,1.60,78.96,15.22,0.83,0.01,1498932000,0.29,1.24,1.24,1.60,1.51,3.38,4.97,95.02,Undeveloped,Undeveloped,1.58,1964,0.09,0.09,0.54,0.18,0.20,0.34,,,98.56,2997560000,,0.334,,0.267,,185.518,,157.210,,4,,5,25.898,1.149,9.133,77.725,,,,1.807,35.945,,8.24,15.69,0.00,0.016,7.965,,,0.723,1.001,8.287,1446493.504,5546.022,217999.606,,,,,1,,146552.034,136.648,51640.854,,,,,1942.898,132.316,42.342,2.854,3.172,6.613,7.086,6.920,,,,,1.223,5.990,0.143,1.451,0.283,1.81,1.32,34.10,41.56,24.35,1074.333,6.747,27.916,0.793,754.84,0.37,,,,
11135250,T11135250,CA_SantaYnezLom,CSQA,SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA,34.677687,-120.553867,,,2283.16,10.05000019,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.05,0.65,0.97,3.98,0.27,0.00,16.00,13.54,15.76,41.25,4.17,1.77,0.42,0.59,0.56,2283173980,18.75,0.89,0.92,0.95,0.35,0.37,0.39,0.43,0.20,0.52,0.73,0.05,0.86,0.93,4.39,0.34,0.16,1.92,77.80,9.99,0.56,0.02,2283249600,1.11,3.84,2.99,4.82,4.39,6.64,11.47,88.38,Undeveloped,Undeveloped,3.26,1965,0.67,0.21,0.68,0.23,0.46,1.24,,0.03,96.49,4566560000,,0.219,,0.175,,121.794,,103.209,,4,,5,26.562,0.847,6.896,96.702,,,,1.814,35.727,,9.04,16.82,0.00,0.014,8.379,,,0.664,0.931,8.160,4466847.815,15689.742,673466.047,,,,21557.513,2,1,452560.370,386.579,159532.506,,,,5755.202,3074.253,268.260,49.998,11.261,12.376,30.203,31.548,32.939,,,,,1.779,5.931,0.136,1.450,0.277,1.66,1.93,35.20,40.74,24.06,898.216,4.780,32.180,1.826,575.01,0.32,2,5,,3239.95
11141050,T11141050,CA_Orcutt,CSQA,ORCUTT C NR ORCUTT CA,34.88359,-120.494888,,,49.29,50.13000107,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.04,1.52,6.02,11.27,0.49,0.00,4.87,3.37,33.99,31.91,4.91,1.50,0.03,0.06,0.00,49316281,9.77,3.12,3.25,3.61,1.23,1.24,3.16,0.58,0.18,1.56,8.21,0.00,2.79,9.96,4.95,1.55,0.00,1.47,63.10,0.00,0.00,0.00,49312800,5.64,18.96,16.17,28.92,4.95,7.98,36.90,63.10,Urban_low,Urban,0.73,1947,7.01,2.64,7.96,1.63,,,,,80.76,98440000,,,,,,,,,,,,,25.509,0.445,0.629,54.730,,,,2.285,54.172,,28.80,0.00,0.00,0.012,9.324,,,0.541,0.727,6.940,104891.933,1139.309,15817.600,,,,,,,10627.166,28.071,3746.899,,,,,3166.013,292.185,59.853,60.096,65.140,149.432,154.552,162.650,,,,,6.928,5.877,0.108,1.468,0.234,1.32,4.59,48.46,32.53,19.01,456.761,0.162,45.016,0.090,189.09,0.15,,,,
11141280,T11141280,CA_Lopez,CSQA,LOPEZ C NR ARROYO GRANDE CA,35.235549,-120.472735,,,54.07,176.8000031,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.00,0.00,0.04,1.27,0.00,0.00,55.72,14.40,0.82,27.56,0.00,0.00,0.18,0.00,0.01,54067109,44.98,0.05,0.05,0.05,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.20,71.75,0.02,0.00,54079200,0.00,0.03,0.03,0.03,0.00,0.00,0.03,99.97,Undeveloped,Undeveloped,,,,,,,,,,,100.00,108160000,,,,,,,,,,,,,40.006,0.000,2.000,45.297,,,,352.334,1297.413,,7.05,21.14,0.00,0.018,7.969,,,0.802,1.047,14.164,0.000,40.477,0.000,,,,,,,0.000,0.997,0.000,,,,,1417.158,0.018,49.271,0.003,0.117,0.013,0.093,0.181,,,,,1.230,6.000,0.112,1.420,0.201,2.23,1.21,28.42,38.75,32.82,899.567,3.130,25.698,,551.75,0.53,,,,
11148900,T11148900,CA_NaciBryson,CSQA,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,35.788579,-121.093805,,,403.27,251.3699951,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.00,0.00,0.01,3.47,0.60,0.03,11.55,21.72,19.95,40.91,0.06,0.00,0.77,0.62,0.30,403295745,22.83,0.07,0.07,0.07,0.00,0.17,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,90.00,9.46,0.31,0.00,403203600,0.17,0.18,0.18,0.18,0.06,0.06,0.23,99.77,Undeveloped,Undeveloped,,,,,,,,,,,100.00,806580000,,0.992,,0.248,,5.047,,0.963,,1,,4,31.224,0.538,0.918,52.479,,,,27.395,186.830,,21.63,0.00,0.00,0.026,8.553,,,0.551,0.925,16.428,11445.353,1140.770,667.528,,,,,,,1159.590,28.095,162.529,,,,,1675.666,3.348,52.724,0.020,0.099,0.044,0.053,0.128,,,,,1.510,6.000,0.120,1.483,0.221,1.12,2.89,40.36,36.81,22.83,669.675,0.970,27.932,0.000,555.17,0.31,,,,
11150500,T11150500,CA_Salinas,CSQA,SALINAS R NR BRADLEY CA,35.930219,-120.868574,,,6570.41,139.6600037,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.02,0.19,0.42,4.74,2.28,0.01,3.87,9.95,42.90,29.20,3.18,1.56,0.41,0.55,0.72,6570455093,10.68,0.39,0.42,0.44,0.15,0.16,0.32,0.36,0.08,0.16,0.64,0.04,0.02,0.94,3.29,1.42,0.01,1.62,86.14,3.93,0.72,0.00,6570262800,0.63,1.88,1.86,2.86,3.29,6.33,9.19,90.80,Undeveloped,Undeveloped,3.13,1974,0.31,0.27,0.14,0.02,0.44,0.50,0.18,0.45,97.70,13140480000,,0.274,,0.107,,162.683,,141.907,,7,,18,30.644,0.196,5.332,266.198,,,,14.420,136.995,,10.35,0.61,0.00,0.021,8.996,,,0.514,0.666,9.744,6966102.801,22979.238,1677279.458,,,,107509.553,2,1,705772.949,565.982,482624.395,,,,12491.211,2293.384,180.957,54.003,4.582,6.062,10.070,12.108,14.533,,,,,1.791,5.932,0.137,1.417,0.271,0.97,1.59,30.64,42.96,26.40,427.737,0.537,34.084,4.301,481.45,0.21,21,12,1,73237.0005
11152000,T11152000,CA_ArroyoSeco,CSQA,ARROYO SECO NR SOLEDAD CA,36.280858,-121.321877,,,625.42,108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.00,0.00,0.03,1.56,1.27,0.01,24.44,21.18,8.04,42.41,0.28,0.26,0.45,0.02,0.06,625424647,19.92,0.05,0.05,0.05,0.02,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.06,0.00,0.27,36.67,62.40,0.06,0.00,625406400,0.02,0.25,0.25,0.25,0.29,0.62,0.87,99.13,Undeveloped,Undeveloped,,,,,,,,,,,100.00,1250720000,,0.160,,,,0.217,,0.197,,,,1,38.269,1.291,0.613,24.248,,,,28.166,189.446,,12.16,12.31,0.00,0.019,7.859,,,0.563,0.966,18.758,169077.031,817.015,9861.083,,,,,,,17130.099,20.122,2400.966,,,,,2163.167,31.261,49.424,0.293,0.654,0.373,0.484,0.821,,,,,1.205,6.000,0.104,1.485,0.203,1.09,3.17,45.24,34.78,19.98,775.773,1.687,25.276,0.162,760.53,0.46,,,,
11152600,T11152600,CA_GabilanSal,CSQA,GABILAN C NR SALINAS CA,36.755792,-121.610501,,,95.05,58.22999954,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.01,0.11,0.30,5.41,0.11,0.01,31.28,0.79,31.31,25.98,2.37,0.05,1.43,0.73,0.12,95066965,28.39,0.32,0.33,0.33,0.03,0.26,0.00,0.74,0.00,0.00,0.11,0.00,0.00,2.54,2.56,0.19,0.13,0.12,93.20,0.00,0.11,0.00,95072400,0.29,1.14,1.14,3.69,2.56,2.87,6.57,93.31,Undeveloped,Undeveloped,,2005,,,,,,,,0.01,99.99,190280000,,,,,,,,,,,,,29.915,1.682,1.193,20.465,,,,12.728,97.183,,22.70,2.56,0.00,0.017,8.078,,,0.545,0.911,13.105,113421.199,422.523,6615.067,,,,,,,11491.309,10.405,1610.630,,,,,2577.832,137.952,65.685,0.846,1.151,2.265,2.739,3.264,,,,,1.758,5.996,0.108,1.530,0.235,0.81,3.78,46.00,34.46,19.54,300.114,0.809,32.509,0.387,362.83,0.31,,,,
11152650,T11152650,CA_Reclamation,CSQA,RECLAMATION DITCH NR SALINAS CA,36.704959,-121.704948,,,274.57,9.510000229,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",1.84,8.03,4.63,7.14,0.24,0.00,17.96,0.36,22.02,16.81,19.27,0.62,0.61,0.35,0.12,274545505,15.26,8.26,8.56,8.72,3.53,1.51,1.68,1.30,1.20,6.96,0.56,0.00,0.10,0.97,20.64,2.49,0.18,1.01,57.77,0.00,0.10,0.00,274568400,6.72,16.84,16.74,17.80,20.64,24.14,41.95,57.88,Mixed,Mixed,0.78,1951,8.13,0.59,0.95,1.86,0.37,,,1.70,86.40,549280000,,1.821,,0.364,,3.002,,1.474,,1,,5,31.809,1.543,3.162,507.950,,,,12.488,96.286,,13.55,5.22,0.00,0.019,9.041,,,0.432,0.730,10.760,2719657.810,4411.791,158633.818,,,,,,,275543.097,108.654,38623.989,,,,,11574.779,1144.592,58.644,103.426,115.115,297.673,410.510,446.539,,,,,4.198,5.947,0.115,1.523,0.258,0.86,2.64,43.06,35.33,21.61,265.364,0.569,42.954,13.695,214.33,0.20,6,6,,634.057
11153470,T11153470,CA_LlagasMorgan,CSQA,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,37.148333,-121.768333,"San Jose-San Francisco-Oakland, CA",South Bay,24.91,205.4400024,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",0.00,0.00,0.01,2.15,0.00,0.02,26.06,48.93,6.25,16.49,0.06,0.00,0.03,0.00,0.00,24918675,54.07,0.05,0.05,0.05,0.00,0.00,0.00,0.35,0.51,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,99.10,0.00,0.00,0.00,24937200,0.00,0.85,0.85,0.85,0.04,0.04,0.90,99.10,Undeveloped,Undeveloped,,,,,,,,,,,100.00,49760000,,,,,,,,,,,,,40.604,1.042,1.000,29.068,,,,33.986,207.823,,6.01,34.26,0.00,0.015,7.866,,,1.155,2.197,26.902,702.249,316.465,132.782,,,,,,,71.149,7.797,38.821,,,,,2736.452,4.727,95.267,0.887,0.812,3.092,2.055,1.692,,,,,1.182,5.949,0.141,1.474,0.302,0.65,2.21,29.79,45.14,25.08,1175.884,1.316,22.959,0.000,461.86,0.42,,,,
