SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,LB_BasinGIS_km2,LB_DevelopedHigh2011,LB_DevelopedMed2011,LB_DevelopedLow2011,LB_DevelopedOpen2011,LB_BarrenLand2011,LB_DeciduousForest2011,LB_EvergreenForest2011,LB_MixedForest2011,LB_GrasslandHerb2011,LB_ShrubScrub2011,LB_CultivatedCrops2011,LB_PastureHay2011,LB_WoodyWetlands2011,LB_EmerHerbWetlands2011,LB_OpenWater2011,LB_SumAreaNLCD2011,LB_Canopy2011,LB_Imperviousness2001,LB_Imperviousness2006,LB_Imperviousness2011,LB_Dev_CommServices2012,LB_Dev_IndusMilitary2012,LB_Dev_MajorTransp2012,LB_Dev_Other2012,LB_Dev_Recreation2012,LB_Dev_ResidHigh2012,LB_Dev_ResidLowMed2012,LB_SemiDev_AnthroOth2012,LB_SemiDev_UrbHigh2012,LB_SemiDev_UrbLowMed2012,LB_Prod_Crops2012,LB_Prod_GrazingPot2012,LB_Prod_Mining2012,LB_Prod_PastureHay2012,LB_LowUse2012,LB_VeryLowUse_Conserv2012,LB_Water2012,LB_Wetlands2012,LB_SumAreaNWALT2012,LB_Dense_Urban,LB_Total_Urban,LB_CSQA_Total_Urban,LB_Extended_Urban,LB_Crops,LB_Total_Ag,LB_Total_Developed,LB_Total_Low_Use,LB_LU_cat_calc,LB_LU_cat,LB_Major_LU,LB_GolfCourseArea,LB_UrbanAge_mean,LB_UrbanAge_PCT_1940,LB_UrbanAge_PCT_1950,LB_UrbanAge_PCT_1960,LB_UrbanAge_PCT_1970,LB_UrbanAge_PCT_1980,LB_UrbanAge_PCT_1990,LB_UrbanAge_PCT_2000,LB_UrbanAge_PCT_2010,LB_UrbanAge_PCT_NonUrban,LB_UrbanAge_SUM_AREA,LB_DamDensity2016,LB_DamMajDensity2016,LB_DamNIDstorage2016,LB_DamNORMALstorage2016,LB_DamNumMajDams2016,LB_NumDams2016,LB_BaseFlowIndex,LB_DunneOverlandFlow,LB_HortonOverlandFlow,LB_IndexSubsFlowContact,LB_TopogWetnessIndex,LB_Runoff2016,LB_Runoff2017,LB_Stream_Ephemeral,LB_Stream_Intermittent,LB_Stream_Perennial,LB_Stream_StreamRiver,LB_StreamDensity,LB_N_AtmosphDepos2016,LB_N_AtmosphDepos2017,LB_N_FertFarm2012,LB_N_FertNonFarm2012,LB_N_Manure2012,LB_N_NPDES_2012,LB_NumFacilities2012,LB_NumMajorFacilities2012,LB_P_FertFarm2012,LB_P_FertNonFarm2012,LB_P_Manure2012,LB_P_NPDES_2012,LB_Total_N,LB_Total_P,LB_AdjHouseIncome_mean,LB_HousingDensity2000,LB_HousingDensity2010,LB_PopDensity1990,LB_PopDensity2000,LB_PopDensity2010,LB_RoadDensity2016,LB_RoadDensity2017,LB_DepthToWaterTable,LB_AvailWaterCapacity,LB_BulkDensity,LB_KfactorUpperHorizon,LB_OrganicMatter,LB_Permeability,LB_SandContent,LB_SiltContent,LB_ClayContent,LB_RainfallErosivity,LB_SoilLoss_Afactor,LB_SoilThickness,LB_SRL25Agland,LB_Elev_MeanWatershed,LB_Slope,LB_TRI_NumOfChems2010,LB_TRI_NumOfFacil,LB_TRI_NumOfSuperFund,LB_TRI_SumLbs2010
11128500,T11128500,CA_SantaYnezSol,CSQA,SANTA YNEZ R A SOLVANG CA,38.512,0.03,0.51,2.85,11.02,0.16,0.00,9.46,3.58,26.38,23.92,12.67,4.63,1.13,2.78,0.87,38520497.94,15.12,1.69,1.75,1.78,1.26,0.00,0.29,1.24,1.73,0.05,6.30,0.00,0.00,4.11,13.04,0.84,0.00,4.84,65.41,0.00,0.88,0.00,38498400,1.55,10.88,10.88,14.98,13.04,18.73,33.71,66.29,Mixed,Mixed,Mixed,1.010,1965,3.33,0.00,3.02,5.88,3.46,4.66,0.00,0.00,79.66,38450000,2.597,2.597,75.012,75.012,1.000,1.000,27.554,1.035,10.448,137.870,8.869,1.800,35.600,44.42,9.44,40.27,0.00,0.014,0.848,8.182,219828.601,680.872,33149.936,,,,22272.018,16.776,7852.612,,7404.777,782.659,64.388,27.213,32.653,59.608,65.516,66.003,,2.690,5.956,0.136,1.432,0.273,1.603,1.320,29.27,41.50,29.23,613.334,0.918,40.459,4.070,198.015,0.170,,,,
11135250,T11135250,CA_SantaYnezLom,CSQA,SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA,29.714,0.27,2.68,8.05,8.92,0.06,0.00,2.06,1.65,4.16,28.47,33.05,7.50,2.29,0.73,0.12,29683903.09,7.66,5.18,5.23,5.30,2.64,2.81,0.16,1.77,0.00,0.00,0.10,0.48,3.45,0.05,38.52,0.17,0.04,8.96,40.61,0.00,0.11,0.13,29721600,5.61,10.93,7.47,11.46,38.52,47.65,59.11,40.86,Ag_high,Ag_high,Ag,,1985,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,98.72,29640000,,,,,,,29.018,0.385,0.496,356.432,11.080,1.800,35.600,40.35,0.00,20.79,0.00,0.011,0.670,6.279,396218.905,715.611,59749.419,,,,40143.068,17.632,14153.542,,15997.455,1827.925,63.741,1.517,0.836,55.038,72.955,93.423,,3.654,4.891,0.105,1.578,0.264,0.536,6.401,52.06,32.14,15.80,430.423,0.280,59.417,5.730,45.189,0.057,0,1,,0.000
11141050,T11141050,CA_Orcutt,CSQA,ORCUTT C NR ORCUTT CA,15.561,0.03,1.54,3.84,9.59,0.00,0.00,1.13,1.43,43.04,24.58,14.59,0.00,0.04,0.19,0.00,15582609.20,4.34,2.51,2.65,2.78,0.99,0.23,2.75,0.76,0.58,0.58,7.91,0.00,1.76,0.65,14.74,4.79,0.00,0.09,64.16,0.00,0.00,0.00,15559200,3.98,15.57,13.81,16.22,14.74,19.62,35.84,64.16,Mixed,Mixed,Mixed,0.725,1941,9.44,0.51,0.00,2.31,0.00,0.00,0.00,0.00,87.74,15580000,,,,,,,25.874,0.564,0.520,49.422,9.639,2.300,54.700,74.31,24.72,0.00,0.00,0.016,0.708,6.541,75024.399,286.068,11313.605,,,,7601.125,7.048,2679.986,,6220.872,661.148,61.557,44.390,44.018,92.647,101.395,96.193,,4.530,5.819,0.101,1.501,0.225,1.117,5.614,54.36,29.11,16.53,397.822,0.104,47.894,0.156,127.285,0.135,,,,
11141280,T11141280,CA_Lopez,CSQA,LOPEZ C NR ARROYO GRANDE CA,18.178,0.00,0.00,0.00,0.90,0.00,0.00,55.71,15.18,0.45,27.54,0.00,0.00,0.19,0.00,0.02,18172661.14,45.39,0.02,0.02,0.02,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.60,58.29,0.06,0.00,18183600,0.00,0.06,0.06,0.06,0.00,0.00,0.06,99.94,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,18210000,,,,,,,41.411,0.000,2.000,57.015,8.123,332.508,1229.650,57.40,15.23,27.38,0.00,0.015,1.033,13.451,0.000,9.588,0.000,,,,0.000,0.236,0.000,,1345.626,0.013,49.384,0.000,0.267,0.000,0.220,0.420,,1.171,6.000,0.113,1.421,0.203,2.192,1.201,28.61,38.75,32.63,804.110,2.781,25.759,-9999.000,485.490,0.527,,,,
11148900,T11148900,CA_NaciBryson,CSQA,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,21.712,0.00,0.00,0.02,3.04,0.00,0.02,11.63,33.09,16.34,33.28,0.00,0.00,0.92,0.17,1.49,21727457.93,29.05,0.07,0.07,0.07,0.00,0.02,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.34,0.00,1.58,0.00,21693600,0.02,0.08,0.08,0.08,0.00,0.00,0.08,99.92,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,21710000,,,,,,,25.928,0.000,1.434,94.521,9.191,15.800,147.200,69.55,28.99,0.00,0.00,0.029,0.763,13.017,0.000,53.227,0.000,,,,0.000,1.311,0.000,,1304.105,0.060,55.888,0.273,0.843,0.613,0.729,0.906,,1.449,6.000,0.138,1.459,0.266,0.909,2.386,35.80,39.13,25.07,486.464,0.446,29.955,-9999.000,423.285,0.284,,,,
11150500,T11150500,CA_Salinas,CSQA,SALINAS R NR BRADLEY CA,44.828,0.00,0.02,0.43,11.94,1.80,0.00,0.00,3.27,62.57,13.83,2.82,1.00,1.92,0.39,0.02,44824637.55,3.02,0.41,0.41,0.41,0.01,2.65,1.46,0.34,0.00,0.00,0.00,0.00,0.00,0.00,2.95,0.68,0.00,1.14,90.77,0.00,0.00,0.00,44798400,4.12,4.46,4.46,4.46,2.95,4.77,9.23,90.77,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,44830000,,,,,,,29.455,0.000,7.056,178.317,9.029,15.800,147.200,93.98,0.00,0.00,0.00,0.024,0.313,6.061,82316.771,458.054,4800.963,,,,8339.953,11.281,1168.933,,2559.686,212.370,46.631,0.000,0.066,0.159,0.078,0.070,,4.729,5.905,0.129,1.374,0.259,1.307,1.148,27.22,43.24,29.54,250.675,0.263,40.971,0.028,286.752,0.239,,,,
11152000,T11152000,CA_ArroyoSeco,CSQA,ARROYO SECO NR SOLEDAD CA,28.848,0.00,0.01,0.09,3.38,14.88,0.00,1.48,2.98,31.12,37.11,3.31,4.91,0.45,0.09,0.18,28846950.93,5.82,0.12,0.12,0.12,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,3.35,0.27,0.00,5.13,90.82,0.00,0.22,0.00,28836000,0.00,0.20,0.20,0.20,3.35,8.75,8.95,91.05,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,28850000,,,,,,,40.229,0.661,1.009,56.605,8.248,15.800,147.200,61.22,11.22,6.20,0.00,0.013,0.561,11.575,117999.340,81.893,6882.078,,,,11955.145,2.017,1675.641,,5489.337,472.581,47.492,0.203,1.103,0.498,0.393,2.026,,4.798,5.996,0.112,1.358,0.204,1.684,1.268,30.27,38.85,30.89,390.640,0.860,32.795,0.371,351.035,0.373,,,,
11152600,T11152600,CA_GabilanSal,CSQA,GABILAN C NR SALINAS CA,25.254,0.05,0.40,1.09,7.73,0.42,0.00,22.28,0.86,31.13,24.78,8.51,0.10,1.59,1.01,0.05,25256156.21,24.47,0.97,1.00,1.01,0.11,0.98,0.00,1.87,0.00,0.00,0.31,0.00,0.00,0.07,9.21,0.71,0.48,0.34,85.87,0.00,0.03,0.00,25282800,1.10,3.27,3.27,3.35,9.21,10.27,13.61,85.90,Ag_low,Ag_low,Ag,,2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,99.96,25330000,,,,,,,29.116,1.689,1.029,35.145,8.231,12.300,94.900,72.86,25.55,0.00,0.00,0.018,0.895,12.893,107272.128,189.294,6256.434,,,,10868.314,4.662,1523.310,,5792.372,490.872,63.380,2.258,2.959,5.890,7.679,8.931,,1.856,5.988,0.114,1.525,0.242,0.787,3.954,46.01,34.12,19.86,276.421,0.635,39.536,0.583,162.690,0.234,,,,
11152650,T11152650,CA_Reclamation,CSQA,RECLAMATION DITCH NR SALINAS CA,13.744,8.51,29.73,15.08,11.06,0.16,0.00,0.00,0.00,0.40,0.00,34.89,0.10,0.07,0.00,0.00,13739514.57,0.18,31.22,32.05,32.46,18.00,2.47,5.09,1.89,2.97,25.51,3.57,0.00,0.45,0.00,39.36,0.00,0.00,0.55,0.16,0.00,0.00,0.00,13719600,25.56,59.93,59.49,59.93,39.36,39.91,99.84,0.16,Mixed,Mixed,Mixed,,1937,45.56,0.07,3.93,0.00,0.00,0.00,0.00,0.00,50.44,13740000,,,,,,,30.784,1.000,10.144,3209.462,11.223,12.958,104.733,42.07,0.00,57.93,0.00,0.010,0.656,9.058,236671.937,633.014,13803.422,,,,23978.501,15.590,3360.843,,19175.973,1990.294,39.763,539.093,561.146,1276.296,1530.694,1656.046,,13.147,5.782,0.135,1.441,0.290,1.103,0.815,29.28,40.93,29.79,229.814,0.094,47.225,45.834,18.040,0.018,0,1,,0.000
11153470,T11153470,CA_LlagasMorgan,CSQA,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,18.806,0.00,0.00,0.02,2.29,0.00,0.00,19.64,51.98,8.05,17.90,0.08,0.00,0.04,0.00,0.00,18811624.61,51.67,0.06,0.06,0.06,0.00,0.00,0.00,0.23,0.67,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,99.05,0.00,0.00,0.00,18849600,0.00,0.90,0.90,0.90,0.06,0.06,0.95,99.05,Undeveloped,Undeveloped,Undeveloped,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,18790000,,,,,,,40.383,1.055,1.000,32.819,7.944,34.698,211.463,62.12,0.00,37.11,0.00,0.015,2.039,25.141,702.249,256.464,132.782,,,,71.149,6.319,38.821,,2572.142,6.183,95.328,0.591,0.694,2.927,1.527,1.555,,1.058,5.949,0.141,1.474,0.302,0.653,2.208,29.79,45.14,25.08,1096.428,1.092,22.959,0.000,384.330,0.395,,,,
