SITE_NO,TSITE_NO,SHORT_NAME,RSQA_STUDY,STATION_NM,ECO_LAT,ECO_LONG,r50_EcoReach_km,r50_Area_km2,r50_DevelopedHigh2011,r50_DevelopedMed2011,r50_DevelopedLow2011,r50_DevelopedOpen2011,r50_BarrenLand2011,r50_DeciduousForest2011,r50_EvergreenForest2011,r50_MixedForest2011,r50_GrasslandHerb2011,r50_ShrubScrub2011,r50_CultivatedCrops2011,r50_PastureHay2011,r50_WoodyWetlands2011,r50_EmerHerbWetlands2011,r50_OpenWater2011,r50_SumAreaNLCD2011,r50_UrbanLMH2011,r50_CanopyCover2011,r50_Imperviousness2011,r50_Dev_CommServices2012,r50_Dev_IndusMilitary2012,r50_Dev_MajorTransp2012,r50_Dev_Other2012,r50_Dev_Recreation2012,r50_Dev_ResidHigh2012,r50_Dev_ResidLowMed2012,r50_SemiDev_AnthroOth2012,r50_SemiDev_UrbHigh2012,r50_SemiDev_UrbLowMed2012,r50_Prod_Crops2012,r50_Prod_GrazingPot2012,r50_Prod_Mining2012,r50_Prod_PastureHay2012,r50_LowUse2012,r50_VeryLowUse_Conserv2012,r50_Water2012,r50_Wetlands2012,r50_SumAreaNWALT2012,r50_Total_Urban,r50_Total_Ag,r50_HousDensityBLK2010,r50_PopDensityBLK2010,r50_RoadDensity2013,r50_RoadDensity2014,r50_RoadDensity2015,r50_RoadDensity2016,r50_RoadDensity2017
11128500,T11128500,CA_SantaYnezSol,CSQA,SANTA YNEZ R A SOLVANG CA,34.58517,-120.14447,3.176,0.322,0.00,1.69,3.93,1.12,5.62,0.00,4.78,0.00,7.87,17.70,0.00,0.00,5.34,51.97,0.00,320400,,8.82,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,6.67,0.00,0.00,,0.00,93.33,,0.00,0.00,324000,0.00,0.00,2.827,2.299,,,,,322.463
11135250,T11135250,CA_SantaYnezLom,CSQA,SANTA YNEZ R A 13TH ST BRIDGE A VAFB NR LOMPOC CA,34.67768,-120.5538,3.359,0.340,0.00,0.00,9.60,25.60,0.00,0.00,0.00,1.60,2.13,0.00,0.00,3.73,54.40,2.93,0.00,337500,,17.49,5.19,0.00,2.20,0.00,1.10,0.00,0.00,0.00,,0.00,0.00,5.49,0.00,,4.40,80.22,,0.00,6.59,327600,3.30,9.89,0.000,0.000,,,,,79.970
11141050,T11141050,CA_Orcutt,CSQA,ORCUTT C NR ORCUTT CA,34.88467,-120.49696,1.693,0.173,0.00,0.00,0.53,6.91,0.00,0.00,0.00,0.00,33.51,2.66,56.38,0.00,0.00,0.00,0.00,169200,,1.77,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,70.83,20.83,,0.00,8.33,,0.00,0.00,172800,0.00,91.67,1.483,3.988,,,,,
11141280,T11141280,CA_Lopez,CSQA,LOPEZ C NR ARROYO GRANDE CA,35.2375,-120.47332,1.733,0.176,0.00,0.00,0.00,1.52,0.00,0.00,80.81,0.51,0.00,11.11,0.00,0.00,6.06,0.00,0.00,178200,,53.28,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,100.00,,0.00,0.00,176400,0.00,0.00,1.355,2.035,,,,,8812.994
11148900,T11148900,CA_NaciBryson,CSQA,NACIMIENTO R BL SAPAQUE C NR BRYSON CA,35.788828,-121.094232,2.606,0.264,0.00,0.00,0.00,0.33,0.00,0.00,1.99,6.98,10.30,36.54,0.00,0.00,24.25,0.00,19.60,270900,,19.20,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,84.06,,15.94,0.00,248400,0.00,0.00,0.378,0.338,,,,,76.277
11150500,T11150500,CA_Salinas,CSQA,SALINAS R NR BRADLEY CA,35.92762,-120.86797,3.818,0.386,0.00,0.00,0.23,0.70,3.48,0.00,0.00,0.00,0.23,5.57,2.09,0.00,76.33,11.37,0.00,387900,,5.23,0.34,0.00,0.00,0.00,0.91,0.00,0.00,0.00,,0.00,0.00,6.36,7.27,,0.00,85.45,,0.00,0.00,396000,0.91,13.64,0.003,0.007,,,,,
11152000,T11152000,CA_ArroyoSeco,CSQA,ARROYO SECO NR SOLEDAD CA,36.28117,-121.32047,2.796,0.282,0.00,1.26,2.52,4.40,11.01,0.00,0.00,2.20,0.94,8.49,47.17,11.32,9.75,0.00,0.94,286200,,9.29,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,38.96,2.60,,5.19,50.65,,2.60,0.00,277200,0.00,46.75,1.152,2.974,,,,,1892.208
11152600,T11152600,CA_GabilanSal,CSQA,GABILAN C NR SALINAS CA,36.7559,-121.61011,1.978,0.200,0.00,2.20,5.29,18.06,0.00,0.00,0.00,0.00,0.88,3.08,70.48,0.00,0.00,0.00,0.00,204300,,8.13,4.33,0.00,5.36,0.00,3.57,0.00,0.00,1.79,,0.00,3.57,51.79,0.00,,7.14,26.79,,0.00,0.00,201600,10.71,58.93,39.039,123.341,,,,,4804.828
11152650,T11152650,CA_Reclamation,CSQA,RECLAMATION DITCH NR SALINAS CA,36.704798,-121.704958,2.439,0.247,0.00,0.36,3.94,26.16,0.00,0.00,0.00,0.00,0.00,0.00,69.53,0.00,0.00,0.00,0.00,251100,,0.00,2.68,1.49,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,98.51,0.00,,0.00,0.00,,0.00,0.00,241200,1.49,98.51,0.197,1.952,,,,,47.000
11153470,T11153470,CA_LlagasMorgan,CSQA,LLAGAS C AB CHESBRO RES NR MORGAN HILL CA,37.14758,-121.7742,1.396,0.142,0.00,0.00,0.00,26.09,0.00,0.00,8.07,24.22,40.37,1.24,0.00,0.00,0.00,0.00,0.00,144900,,39.48,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,0.00,100.00,,0.00,0.00,140400,0.00,0.00,0.383,1.021,,,,,6368.029
