"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"05531500       ","MSQA","Midwest Stream-Quality Assessment","SALT CREEK AT WESTERN SPRINGS, IL"," 414933    "," 0875401    ","41.8258333333333","-87.9002777777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Cook County","Illinois","IL"
"01189000       ","NESQA","Northeast Stream-Quality Assessment","PEQUABUCK R AT FORESTVILLE, CT."," 414023    "," 0725404    ","41.6731540322929","-72.9006573765005","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Hartford County","Connecticut","CT"
"05458800       ","MSQA","Midwest Stream-Quality Assessment","Maynes Creek near Hampton, IA"," 424051.0  "," 0931211.7  ","42.6808333333333","-93.20325","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Franklin County","Iowa","IA"
"02146562       ","SESQA","Southeast Stream-Quality Assessment","CAMPBELL CREEK NR CHARLOTTE, NC"," 351112    "," 0804412    ","35.1866666666667","-80.7366666666667","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Mecklenburg County","North Carolina","NC"
"11159500       ","CSQA","California Stream-Quality Assessment","PAJARO R A WATSONVILLE CA"," 365420.20 "," 1214506.80 ","36.9056111111111","-121.751888888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Cruz County","California","CA"
"374933122001301","CSQA","California Stream-Quality Assessment","SAN RAMON C A LA GONDA WAY A DANVILLE CA"," 374932.56 "," 1220012.74 ","37.8257111111111","-122.003538888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11182500       ","CSQA","California Stream-Quality Assessment","SAN RAMON C A SAN RAMON CA"," 374623    "," 1215937    ","37.7729830238255","-121.994682477291","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Contra Costa County","California","CA"
"11164500       ","CSQA","California Stream-Quality Assessment","SAN FRANCISQUITO C A STANFORD UNIVERSITY CA"," 372524    "," 1221118    ","37.4232725715098","-122.189409548307","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Clara County","California","CA"
"372500122081201","CSQA","California Stream-Quality Assessment","MATADERO C A JOSINA AVE A PALO ALTO CA"," 372500.48 "," 1220811.73 ","37.4168","-122.136591666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371620122005801","CSQA","California Stream-Quality Assessment","SARATOGA C A BRAEMAR DR A SARATOGA CA"," 371620.10 "," 1220058.64 ","37.27225","-122.016288888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11152000       ","CSQA","California Stream-Quality Assessment","ARROYO SECO NR SOLEDAD CA"," 361650    "," 1211918    ","36.2805207613727","-121.322706287074","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"11150500       ","CSQA","California Stream-Quality Assessment","SALINAS R NR BRADLEY CA"," 355549    "," 1205204    ","35.930243431508","-120.86879146182","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Monterey County","California","CA"
"364003121373501","CSQA","California Stream-Quality Assessment","ALISAL C A FAIRVIEW AVE NR SALINAS CA"," 364002.10 "," 1213737.20 ","36.66725","-121.627","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152650       ","CSQA","California Stream-Quality Assessment","RECLAMATION DITCH NR SALINAS CA"," 364218    "," 1214214    ","36.7049586119891","-121.704947504011","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"365736121250801","CSQA","California Stream-Quality Assessment","PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA"," 365736.00 "," 1212508.39 ","36.96","-121.418997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"365634121264001","CSQA","California Stream-Quality Assessment","TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA"," 365633.72 "," 1212640.20 ","36.9427","-121.4445","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"364155121363901","CSQA","California Stream-Quality Assessment","NATIVIDAD C NR SALINAS CA"," 364155.32 "," 1213638.60 ","36.6987","-121.610722222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"394340085524601","MSQA","Midwest Stream-Quality Assessment","SUGAR CREEK AT CO RD 400 S AT NEW PALESTINE, IN"," 394340    "," 0855246    ","39.7278214419307","-85.8794245970735","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Hancock County","Indiana","IN"
"05457200       ","MSQA","Midwest Stream-Quality Assessment","CEDAR RIVER AT 100TH ST. NEAR LYLE, MN"," 433051.2  "," 0930010.3  ","43.5142222222222","-93.0028611111111","Differential Global Positioning System (DGPS)","Accurate to +/- .1 second (differentially corrected GPS)","NAD83     ","Mower County","Minnesota","MN"
"05315295       ","MSQA","Midwest Stream-Quality Assessment","THREEMILE CREEK AT 210TH AVE NEAR GHENT, MN"," 442924.9  "," 0955238.8  ","44.49025","-95.8774444444444","Interpolated from Digital Map","Accurate to +/- .1 second (differentially corrected GPS)","NAD83     ","Lyon County","Minnesota","MN"
"391136090341101","MSQA","Midwest Stream-Quality Assessment","COLE CREEK NEAR HARDIN, IL"," 391136    "," 0903411    ","39.1933333333333","-90.5697222222222","Interpolated from Digital Map","Accurate to +/- 1 second","NAD83     ","Greene County","Illinois","IL"
"02338523       ","SESQA","Southeast Stream-Quality Assessment","HILLABAHATCHEE CREEK AT THAXTON RD, NR FRANKLIN,GA"," 332026    "," 0851337    ","33.3406717113855","-85.2268901018619","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Heard County","Georgia","GA"
"02335870       ","SESQA","Southeast Stream-Quality Assessment","SOPE CREEK NEAR MARIETTA, GA"," 335714    "," 0842636    ","33.9538888888889","-84.4433333333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Cobb County","Georgia","GA"
"364138121373701","CSQA","California Stream-Quality Assessment","GABILAN C AB E LAUREL DR NR SALINAS CA"," 364138.27 "," 1213738.11 ","36.6939638888889","-121.627252777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152600       ","CSQA","California Stream-Quality Assessment","GABILAN C NR SALINAS CA"," 364521    "," 1213634    ","36.7557919612139","-121.610500501905","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"363608121255201","CSQA","California Stream-Quality Assessment","CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA"," 363607.92 "," 1212551.59 ","36.6022","-121.430997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"371738121555901","CSQA","California Stream-Quality Assessment","LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA"," 371738.04 "," 1215558.80 ","37.2939","-121.933","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371814121525601","CSQA","California Stream-Quality Assessment","GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA"," 371814.21 "," 1215256.10 ","37.3039472222222","-121.88225","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371554121474101","CSQA","California Stream-Quality Assessment","COYOTE C A COYOTE RD NR SAN JOSE CA"," 371553.78 "," 1214740.77 ","37.2649388888889","-121.794658333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11169025       ","CSQA","California Stream-Quality Assessment","GUADALUPE R ABV HWY 101 A SAN JOSE CA"," 372226    "," 1215555    ","37.3738296053131","-121.933012850008","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Santa Clara County","California","CA"
"11466200       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A SANTA ROSA CA"," 382612    "," 1224325    ","38.4365787018881","-122.724709574378","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Sonoma County","California","CA"
"382346122521201","CSQA","California Stream-Quality Assessment","UNNAMED TRIB A MONTGOMERY RD NR SEBASTOPOL CA"," 382346.05 "," 1225212.14 ","38.396125","-122.870038888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
