"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"66632","88671-89-0","Organics, Pesticides","Organics, Pesticides","Myclobutanil, wf","ng/l","Myclobutanil, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68426","138261-41-3","Organics, Pesticides","Organics, Pesticides","Imidacloprid, wf","ng/l","Imidacloprid, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"62649","1066-51-9","Organics, Pesticides","Organics, Pesticides","AMPA, w,gf<0.7u","ug/l","Aminomethylphosphonic acid, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
"62721","51276-47-2","Organics, Pesticides","Organics, Pesticides","Glufosinate, w,gf<.7u","ug/l","Glufosinate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
"62722","1071-83-6","Organics, Pesticides","Organics, Pesticides","Glyphosate, w,gf<.7u","ug/l","Glyphosate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
"04254","57837-19-1","Organics, Pesticides","Organics, Pesticides","Metalaxyl, wu","ug/l","Metalaxyl, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"30218","62-73-7","Organics, Pesticides","Organics, Pesticides","Dichlorvos, wu","ug/l","Dichlorvos, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"30234","314-40-9","Organics, Pesticides","Organics, Pesticides","Bromacil, wu","ug/l","Bromacil, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"34571","106-46-7","Organics, Pesticides","Organics, Pesticides","1,4-Dichlorobenzene, wu","ug/l","1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"38932","2921-88-2","Organics, Pesticides","Organics, Pesticides","Chlorpyrifos, wu","ug/l","Chlorpyrifos, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39032","87-86-5","Organics, Pesticides","Organics, Pesticides","Pentachlorophenol, wu","ug/l","Pentachlorophenol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39056","1610-18-0","Organics, Pesticides","Organics, Pesticides","Prometon, wu","ug/l","Prometon, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39570","333-41-5","Organics, Pesticides","Organics, Pesticides","Diazinon, wu","ug/l","Diazinon, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39630","1912-24-9","Organics, Pesticides","Organics, Pesticides","Atrazine, wu","ug/l","Atrazine, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"39750","63-25-2","Organics, Pesticides","Organics, Pesticides","Carbaryl, wu","ug/l","Carbaryl, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"61947","134-62-3","Organics, Pesticides","Organics, Pesticides","N,N-Diethyl-m-toluamide, wu","ug/l","N,N-Diethyl-m-toluamide (DEET), water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
