"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"11159500       ","CSQA","California Stream-Quality Assessment","PAJARO R A WATSONVILLE CA"," 365420.20 "," 1214506.80 ","36.9056111111111","-121.751888888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Cruz County","California","CA"
"374933122001301","CSQA","California Stream-Quality Assessment","SAN RAMON C A LA GONDA WAY A DANVILLE CA"," 374932.56 "," 1220012.74 ","37.8257111111111","-122.003538888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Contra Costa County","California","CA"
"11164500       ","CSQA","California Stream-Quality Assessment","SAN FRANCISQUITO C A STANFORD UNIVERSITY CA"," 372524    "," 1221118    ","37.4232725715098","-122.189409548307","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Santa Clara County","California","CA"
"372500122081201","CSQA","California Stream-Quality Assessment","MATADERO C A JOSINA AVE A PALO ALTO CA"," 372500.48 "," 1220811.73 ","37.4168","-122.136591666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11152000       ","CSQA","California Stream-Quality Assessment","ARROYO SECO NR SOLEDAD CA"," 361650    "," 1211918    ","36.2805207613727","-121.322706287074","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"11150500       ","CSQA","California Stream-Quality Assessment","SALINAS R NR BRADLEY CA"," 355549    "," 1205204    ","35.930243431508","-120.86879146182","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Monterey County","California","CA"
"364003121373501","CSQA","California Stream-Quality Assessment","ALISAL C A FAIRVIEW AVE NR SALINAS CA"," 364002.10 "," 1213737.20 ","36.66725","-121.627","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152650       ","CSQA","California Stream-Quality Assessment","RECLAMATION DITCH NR SALINAS CA"," 364218    "," 1214214    ","36.7049586119891","-121.704947504011","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"365736121250801","CSQA","California Stream-Quality Assessment","PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA"," 365736.00 "," 1212508.39 ","36.96","-121.418997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"365634121264001","CSQA","California Stream-Quality Assessment","TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA"," 365633.72 "," 1212640.20 ","36.9427","-121.4445","Interpolated from map","Accurate to +/- 1 second","NAD83     ","San Benito County","California","CA"
"364155121363901","CSQA","California Stream-Quality Assessment","NATIVIDAD C NR SALINAS CA"," 364155.32 "," 1213638.60 ","36.6987","-121.610722222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"364138121373701","CSQA","California Stream-Quality Assessment","GABILAN C AB E LAUREL DR NR SALINAS CA"," 364138.27 "," 1213738.11 ","36.6939638888889","-121.627252777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"11152600       ","CSQA","California Stream-Quality Assessment","GABILAN C NR SALINAS CA"," 364521    "," 1213634    ","36.7557919612139","-121.610500501905","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Monterey County","California","CA"
"363608121255201","CSQA","California Stream-Quality Assessment","CHUALAR C A CHUALAR CANYON RD NR CHUALAR CA"," 363607.92 "," 1212551.59 ","36.6022","-121.430997222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monterey County","California","CA"
"371620122005801","CSQA","California Stream-Quality Assessment","SARATOGA C A BRAEMAR DR A SARATOGA CA"," 371620.10 "," 1220058.64 ","37.27225","-122.016288888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371738121555901","CSQA","California Stream-Quality Assessment","LOS GATOS C A E HAMILTON AVE NR CAMPBELL CA"," 371738.04 "," 1215558.80 ","37.2939","-121.933","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371814121525601","CSQA","California Stream-Quality Assessment","GUADALUPE R A WILLOW GLEN WAY NR SAN JOSE CA"," 371814.21 "," 1215256.10 ","37.3039472222222","-121.88225","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"371554121474101","CSQA","California Stream-Quality Assessment","COYOTE C A COYOTE RD NR SAN JOSE CA"," 371553.78 "," 1214740.77 ","37.2649388888889","-121.794658333333","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Santa Clara County","California","CA"
"11466200       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A SANTA ROSA CA"," 382612    "," 1224325    ","38.4365787018881","-122.724709574378","Interpolated from map","Accurate to +/- 5 seconds","NAD27     ","Sonoma County","California","CA"
"382346122521201","CSQA","California Stream-Quality Assessment","UNNAMED TRIB A MONTGOMERY RD NR SEBASTOPOL CA"," 382346.05 "," 1225212.14 ","38.396125","-122.870038888889","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Sonoma County","California","CA"
"11466320       ","CSQA","California Stream-Quality Assessment","SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA"," 382643    "," 1224822    ","38.4451902615927","-122.807212855113","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
"11466800       ","CSQA","California Stream-Quality Assessment","MARK WEST C NR MIRABEL HEIGHTS CA"," 382939    "," 1225108    ","38.4940783784242","-122.853325788863","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Sonoma County","California","CA"
